Player,Start,End,Matches,Innings,NotOuts,Runs,HighScore,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,Overs,Maidens,Wickets,Economy,FourWickets,FiveWickets
CR Smith,2007,2011,13,7,3,5,1,1.25,8,62.5,0,0,2,0,0,50,1,14,6.22,0,0
L Cheatle,2016,2016,7,1,1,4,4,100,8,50,0,0,0,0,0,19,1,5,6.421052631578948,0,0
BJ Clark,2005,2005,1,1,0,4,4,4,10,40,0,0,0,0,0,0,0,0,0,0,0
EM Sampson,2007,2009,5,1,1,4,4,100,6,66.66666666666666,0,0,0,0,0,17,1,4,5.0588235294117645,0,0
KJ Garth,2022,2024,6,1,1,2,2,100,4,50,0,0,0,0,0,22,0,5,7.409090909090909,0,0
SE Aley,2017,2017,2,1,0,1,1,1,3,33.33333333333333,0,0,0,0,0,4,0,0,9.5,0,0
LM Keightley,2005,2005,1,1,0,1,1,1,2,50,0,0,0,0,0,0,0,0,0,0,0
KE Pike,2005,2009,10,1,0,1,1,1,5,20,0,0,0,0,0,28.1,1,5,7.349112426035503,0,0
HL Ferling,2013,2016,9,1,0,0,0,0,1,0,0,0,1,0,0,27,2,5,5.2592592592592595,0,0
SA Millanta,2012,2012,4,1,0,0,0,0,1,0,0,0,1,0,0,12,0,1,5.166666666666667,0,0
TJ Vlaeminck,2018,2022,15,1,0,0,0,0,2,0,0,0,1,0,0,47,3,13,6.042553191489362,0,0
