Player,Start,End,Matches,Innings,NotOuts,Runs,HighScore,Average,StrikeRate,Hundreds,Fifties,Ducks,Overs,Maidens,Wickets,Economy,FourWickets,FiveWickets,Country
MM Lanning,2010,2023,132,121,28,3405,133,36.61290322580645,116.37047163362952,2,15,1,6,0,4,6.5,0,0,AUS
AJ Healy,2010,2024,153,135,21,2795,148,24.517543859649123,129.15896487985214,1,16,12,0,0,0,0,0,0,AUS
BL Mooney,2016,2024,95,89,22,2764,117,41.25373134328358,123.50312779267203,2,22,4,0,0,0,0,0,0,AUS
EA Perry,2008,2024,151,95,37,1841,75,31.74137931034483,116.15141955835962,0,9,5,401.5,8,125,5.845707175445873,4,0,AUS
EJ Villani,2009,2018,62,58,10,1369,90,28.520833333333332,118.22107081174438,0,12,4,0,0,0,0,0,0,AUS
AJ Blackwell,2005,2017,95,81,19,1314,61,21.193548387096776,92.92786421499292,0,1,5,1,0,0,14,0,0,AUS
A Gardner,2017,2024,85,66,16,1308,93,26.16,130.66933066933066,0,6,5,208.2,3,64,6.7008,0,1,AUS
JE Duffin,2009,2015,64,55,10,941,68,20.91111111111111,107.54285714285714,0,3,4,0,0,0,0,0,0,AUS
TM McGrath,2021,2024,39,30,9,900,91,42.857142857142854,134.7305389221557,0,7,1,43,1,17,8.581395348837209,0,0,AUS
RL Haynes,2010,2022,84,56,24,850,69,26.5625,117.72853185595568,0,3,1,7.2,0,4,10.090909090909092,0,0,AUS
LJ Poulton,2006,2012,40,40,2,784,61,20.63157894736842,104.25531914893618,0,2,2,3,0,2,6.666666666666667,0,0,AUS
S Nitschke,2005,2011,36,35,2,776,56,23.515151515151516,105.72207084468666,0,3,2,128,4,43,5.5078125,1,0,AUS
LC Sthalekar,2005,2013,54,50,14,769,52,21.36111111111111,109.70042796005706,0,1,4,199.2,1,60,5.8244147157190636,1,0,AUS
JL Jonassen,2012,2023,105,43,9,438,47,12.882352941176471,90.12345679012346,0,0,3,327,7,96,5.761467889908257,3,1,AUS
GM Harris,2015,2024,42,27,8,408,64,21.473684210526315,167.21311475409837,0,1,5,29,0,9,5.517241379310345,0,0,AUS
KL Rolton,2005,2009,15,12,4,405,96,50.625,125.77639751552796,0,2,0,6,0,3,6.166666666666667,0,0,AUS
JM Fields,2006,2013,37,20,9,249,37,22.636363636363637,86.159169550173,0,0,0,0,0,0,0,0,0,AUS
P Litchfield,2022,2024,11,8,3,189,52,37.8,170.27027027027026,0,1,0,0,0,0,0,0,0,AUS
DM Kimmince,2008,2020,44,11,1,162,43,16.2,96.42857142857143,0,0,1,141,0,45,6.7304964539007095,0,0,AUS
KA Blackwell,2005,2008,6,6,3,119,43,39.666666666666664,94.44444444444444,0,0,0,3,0,0,9,0,0,AUS
SJ Coyte,2010,2016,47,21,12,117,17,13,97.5,0,0,2,160.2,1,47,6.106029106029107,1,0,AUS
G Wareham,2018,2024,52,14,7,116,32,16.571428571428573,145,0,0,2,134.3,0,51,6.230483271375463,0,0,AUS
LK Ebsary,2009,2012,14,12,4,113,24,14.125,109.70873786407766,0,0,2,0,0,0,0,0,0,AUS
A Sutherland,2020,2024,28,11,2,109,22,12.11111111111111,139.74358974358972,0,0,0,63,0,15,7.2063492063492065,0,0,AUS
RM Farrell,2009,2016,54,14,6,95,31,11.875,131.94444444444443,0,0,1,185.3,5,55,6.199460916442049,1,0,AUS
EA Osborne,2009,2016,59,18,9,78,17,8.666666666666666,96.29629629629629,0,0,5,187.2,0,48,5.765124555160142,1,0,AUS
SJ Elliott,2005,2011,14,10,2,62,19,7.75,70.45454545454545,0,0,0,14.2,0,6,6.209302325581395,0,0,AUS
NJ Carey,2018,2022,27,12,9,60,10,20,82.1917808219178,0,0,0,67.2,1,19,7.009900990099011,0,0,AUS
S Molineux,2018,2021,27,7,1,47,18,7.833333333333333,88.67924528301887,0,0,1,90.3,2,26,5.94475138121547,1,0,AUS
KL Britt,2007,2008,2,2,0,44,39,22,91.66666666666666,0,0,0,2,0,0,7,0,0,AUS
EA Burns,2019,2019,5,1,1,30,30,100,166.66666666666669,0,0,0,8,1,0,4.625,0,0,AUS
M Schutt,2013,2024,108,15,7,29,8,3.625,82.85714285714286,0,0,2,366.3,8,133,6.376534788540246,4,1,AUS
AM King,2022,2023,22,4,2,27,18,13.5,90,0,0,0,65.1,1,21,6.2915601023017915,1,0,AUS
MJ Bulow,2006,2007,2,2,0,15,11,7.5,60,0,0,0,0,0,0,0,0,0,AUS
